head_id,pca_90,pca_95,pca_99,evr_pc1,evr_pc2,pr,twonn,mle,shannon_entropy,eff_rank
L0_B0_H0,1.0,1.0,2.0,0.96,0.03,1.08,3.61,3.32,0.18,1.2
L0_B0_H1,1.0,2.0,3.0,0.93,0.06,1.15,5.23,4.59,0.31,1.36
L0_B0_H2,1.0,1.0,2.0,0.97,0.03,1.07,3.89,3.47,0.16,1.18
L0_B0_H3,2.0,2.0,4.0,0.81,0.15,1.48,6.06,4.98,0.64,1.89
L0_B1_H0,4.0,6.0,10.0,0.52,0.25,2.87,7.55,6.89,1.43,4.17
L0_B1_H1,2.0,2.0,4.0,0.83,0.13,1.41,5.86,5.25,0.59,1.81
L0_B1_H2,3.0,4.0,7.0,0.6,0.18,2.4,5.47,5.2,1.17,3.22
L0_B1_H3,2.0,3.0,6.0,0.71,0.2,1.83,5.94,5.27,0.92,2.51
L1_B0_H0,8.0,10.0,15.0,0.31,0.2,5.73,8.07,8.58,2.09,8.05
L1_B0_H1,7.0,9.0,14.0,0.42,0.18,4.29,7.2,8.2,1.91,6.73
L1_B0_H2,8.0,10.0,14.0,0.31,0.17,6.29,7.91,9.04,2.17,8.79
L1_B0_H3,6.0,8.0,13.0,0.42,0.16,4.19,6.66,7.31,1.82,6.18
L1_B0_H4,7.0,9.0,15.0,0.47,0.13,3.82,6.93,8.05,1.86,6.44
L1_B0_H5,8.0,10.0,14.0,0.28,0.2,6.39,7.78,8.9,2.16,8.71
L1_B0_H6,3.0,5.0,9.0,0.75,0.11,1.74,6.72,6.42,1.0,2.71
L1_B0_H7,4.0,7.0,14.0,0.54,0.21,2.84,8.12,7.58,1.49,4.42
L1_B1_H0,8.0,11.0,17.0,0.33,0.21,5.41,6.73,8.26,2.1,8.17
L1_B1_H1,10.0,13.0,20.0,0.23,0.16,7.66,7.86,9.23,2.35,10.52
L1_B1_H2,9.0,12.0,19.0,0.3,0.2,6.21,7.69,8.98,2.23,9.27
L1_B1_H3,9.0,12.0,18.0,0.25,0.17,7.38,7.33,8.82,2.32,10.19
L1_B1_H4,10.0,13.0,20.0,0.23,0.15,8.37,8.02,9.22,2.44,11.44
L1_B1_H5,10.0,13.0,19.0,0.25,0.2,6.85,7.9,9.33,2.28,9.8
L1_B1_H6,8.0,11.0,18.0,0.27,0.21,6.22,6.47,7.85,2.16,8.68
L1_B1_H7,9.0,12.0,18.0,0.31,0.17,6.34,6.85,8.73,2.25,9.45
L2_B0_H0,11.0,13.0,19.0,0.2,0.18,8.85,7.51,9.6,2.47,11.8
L2_B0_H1,11.0,14.0,20.0,0.24,0.17,7.95,7.05,9.12,2.43,11.4
L2_B0_H2,12.0,15.0,20.0,0.19,0.17,9.5,7.63,9.85,2.55,12.76
L2_B0_H3,13.0,16.0,21.0,0.19,0.12,10.53,8.85,10.86,2.64,14.07
L2_B0_H4,12.0,15.0,20.0,0.23,0.14,8.97,6.52,9.15,2.53,12.6
L2_B0_H5,7.0,9.0,14.0,0.35,0.2,5.06,5.68,7.44,1.98,7.26
L2_B0_H6,8.0,11.0,17.0,0.44,0.15,4.3,6.32,8.32,2.0,7.42
L2_B0_H7,11.0,14.0,20.0,0.36,0.17,5.47,7.95,10.07,2.23,9.3
L2_B0_H8,14.0,17.0,22.0,0.15,0.14,11.62,10.61,11.95,2.71,15.05
L2_B0_H9,11.0,15.0,20.0,0.21,0.18,8.54,6.8,9.17,2.48,11.93
L2_B0_H10,12.0,15.0,20.0,0.18,0.16,9.75,6.85,9.64,2.57,13.07
L2_B0_H11,12.0,15.0,20.0,0.2,0.15,9.62,7.07,8.83,2.55,12.77
L2_B0_H12,11.0,14.0,20.0,0.2,0.16,9.12,6.85,9.26,2.5,12.13
L2_B0_H13,11.0,14.0,20.0,0.2,0.17,8.99,7.03,8.83,2.5,12.22
L2_B0_H14,10.0,13.0,19.0,0.21,0.17,8.44,7.19,8.5,2.42,11.24
L2_B0_H15,9.0,12.0,19.0,0.25,0.18,7.28,7.49,8.5,2.32,10.2
L2_B1_H0,12.0,16.0,21.0,0.24,0.16,8.41,8.74,10.36,2.5,12.19
L2_B1_H1,15.0,18.0,22.0,0.17,0.11,12.52,9.13,11.63,2.78,16.17
L2_B1_H2,16.0,19.0,22.0,0.14,0.11,14.08,9.55,12.6,2.85,17.35
L2_B1_H3,14.0,17.0,22.0,0.2,0.11,10.98,8.32,11.24,2.69,14.78
L2_B1_H4,11.0,14.0,20.0,0.45,0.11,4.32,8.3,10.77,2.12,8.3
L2_B1_H5,14.0,17.0,22.0,0.2,0.16,9.47,9.51,11.56,2.6,13.43
L2_B1_H6,13.0,16.0,21.0,0.22,0.19,8.63,7.82,10.33,2.54,12.68
L2_B1_H7,14.0,17.0,22.0,0.28,0.13,8.01,7.76,10.24,2.54,12.72
L2_B1_H8,16.0,19.0,23.0,0.12,0.1,15.28,9.86,12.75,2.9,18.18
L2_B1_H9,14.0,17.0,22.0,0.24,0.12,9.42,7.23,10.67,2.62,13.78
L2_B1_H10,15.0,18.0,22.0,0.18,0.12,11.7,7.18,11.03,2.75,15.6
L2_B1_H11,11.0,15.0,20.0,0.23,0.16,8.65,6.71,8.83,2.49,12.1
L2_B1_H12,12.0,16.0,21.0,0.36,0.12,5.97,7.66,10.36,2.35,10.52
L2_B1_H13,12.0,15.0,22.0,0.28,0.16,7.27,8.91,10.44,2.41,11.17
L2_B1_H14,7.0,10.0,17.0,0.32,0.17,5.49,6.33,7.77,2.05,7.79
L2_B1_H15,11.0,14.0,19.0,0.25,0.18,7.83,6.96,8.94,2.42,11.29
L2_B2_H0,16.0,20.0,23.0,0.12,0.12,14.78,7.9,11.59,2.89,18.01
L2_B2_H1,15.0,18.0,22.0,0.17,0.11,12.27,8.44,10.88,2.77,15.98
L2_B2_H2,16.0,19.0,23.0,0.15,0.14,12.99,9.24,11.16,2.82,16.73
L2_B2_H3,16.0,20.0,23.0,0.18,0.11,12.74,7.72,11.73,2.83,16.92
L2_B2_H4,16.0,19.0,22.0,0.13,0.11,14.87,9.93,11.87,2.89,17.96
L2_B2_H5,11.0,14.0,19.0,0.21,0.19,8.41,8.38,9.54,2.44,11.51
L2_B2_H6,13.0,16.0,21.0,0.28,0.17,7.39,8.69,10.8,2.46,11.66
L2_B2_H7,14.0,17.0,21.0,0.15,0.12,12.32,9.46,11.1,2.74,15.47
L2_B2_H8,14.0,17.0,21.0,0.22,0.15,9.74,8.48,10.9,2.63,13.89
L2_B2_H9,16.0,19.0,23.0,0.19,0.1,12.15,8.35,11.78,2.81,16.53
L2_B2_H10,16.0,19.0,23.0,0.26,0.1,9.43,9.54,11.85,2.69,14.68
L2_B2_H11,14.0,17.0,22.0,0.25,0.13,8.65,9.01,11.15,2.57,13.12
L2_B2_H12,15.0,19.0,23.0,0.2,0.12,11.31,8.64,11.25,2.75,15.69
L2_B2_H13,16.0,19.0,23.0,0.14,0.11,14.25,8.42,11.86,2.87,17.66
L2_B2_H14,16.0,19.0,23.0,0.14,0.12,14.03,7.77,10.44,2.87,17.6
L2_B2_H15,17.0,20.0,23.0,0.14,0.1,15.07,7.92,11.97,2.92,18.46
L2_B3_H0,10.0,13.0,20.0,0.29,0.19,6.74,9.48,10.49,2.33,10.26
L2_B3_H1,17.0,19.0,23.0,0.13,0.11,14.83,10.36,12.83,2.9,18.13
L2_B3_H2,15.0,18.0,23.0,0.19,0.12,11.68,8.43,11.75,2.76,15.86
L2_B3_H3,15.0,17.0,22.0,0.18,0.13,11.59,9.48,11.27,2.74,15.52
L2_B3_H4,17.0,20.0,23.0,0.19,0.1,12.69,10.27,13.0,2.85,17.3
L2_B3_H5,17.0,20.0,23.0,0.13,0.11,15.57,9.11,12.29,2.94,18.85
L2_B3_H6,11.0,14.0,20.0,0.25,0.18,7.73,8.2,9.52,2.4,11.03
L2_B3_H7,16.0,19.0,23.0,0.18,0.13,11.99,8.64,11.64,2.78,16.11
L2_B3_H8,16.0,19.0,23.0,0.14,0.12,13.38,8.19,11.7,2.83,16.88
L2_B3_H9,16.0,19.0,23.0,0.14,0.11,14.45,10.62,12.24,2.88,17.77
L2_B3_H10,17.0,20.0,23.0,0.12,0.1,15.58,8.87,12.17,2.92,18.62
L2_B3_H11,18.0,20.0,23.0,0.12,0.09,16.3,10.12,13.0,2.96,19.27
L2_B3_H12,16.0,19.0,23.0,0.13,0.11,14.7,10.71,12.34,2.88,17.89
L2_B3_H13,17.0,20.0,23.0,0.14,0.11,15.12,9.91,12.86,2.93,18.64
L2_B3_H14,17.0,20.0,23.0,0.11,0.09,16.33,9.4,12.05,2.95,19.17
L2_B3_H15,17.0,19.0,23.0,0.12,0.1,15.59,10.38,12.78,2.92,18.61
L2_B4_H0,17.0,20.0,23.0,0.11,0.1,15.94,10.31,11.75,2.94,18.99
L2_B4_H1,16.0,19.0,23.0,0.11,0.1,15.79,10.69,12.3,2.92,18.56
L2_B4_H2,18.0,21.0,23.0,0.13,0.1,16.45,11.35,12.73,2.97,19.54
L2_B4_H3,15.0,18.0,22.0,0.22,0.12,10.57,8.97,10.68,2.7,14.94
L2_B4_H4,15.0,19.0,23.0,0.17,0.12,12.44,10.48,12.02,2.79,16.29
L2_B4_H5,17.0,20.0,23.0,0.16,0.11,13.66,11.01,12.64,2.86,17.49
L2_B4_H6,17.0,20.0,23.0,0.12,0.1,15.61,10.02,12.98,2.93,18.66
L2_B4_H7,17.0,20.0,23.0,0.15,0.13,14.25,10.06,13.01,2.9,18.16
L2_B4_H8,17.0,20.0,23.0,0.13,0.11,15.02,9.33,11.99,2.91,18.37
L2_B4_H9,16.0,19.0,23.0,0.2,0.1,12.14,8.31,10.75,2.81,16.69
L2_B4_H10,15.0,18.0,22.0,0.21,0.11,11.17,9.54,11.01,2.74,15.42
L2_B4_H11,17.0,20.0,23.0,0.14,0.11,14.59,9.68,11.82,2.9,18.11
L2_B4_H12,16.0,19.0,23.0,0.16,0.12,13.3,10.37,12.75,2.84,17.14
L2_B4_H13,17.0,20.0,23.0,0.11,0.11,15.87,8.93,11.41,2.93,18.8
L2_B4_H14,17.0,20.0,23.0,0.17,0.11,13.5,7.81,10.03,2.86,17.53
L2_B4_H15,18.0,21.0,23.0,0.12,0.1,15.99,9.36,12.79,2.96,19.23
L2_B5_H0,17.0,20.0,23.0,0.15,0.1,15.17,11.05,13.62,2.93,18.74
L2_B5_H1,17.0,20.0,23.0,0.12,0.1,16.15,9.68,12.55,2.95,19.12
L2_B5_H2,15.0,18.0,22.0,0.15,0.11,13.66,11.31,12.6,2.84,17.03
L2_B5_H3,12.0,15.0,21.0,0.31,0.11,7.08,9.1,10.29,2.44,11.42
L2_B5_H4,13.0,16.0,21.0,0.2,0.15,9.88,8.76,9.85,2.61,13.63
L2_B5_H5,16.0,19.0,23.0,0.16,0.12,12.48,8.41,9.87,2.8,16.39
L2_B5_H6,16.0,19.0,23.0,0.14,0.1,14.52,10.21,11.21,2.89,17.92
L2_B5_H7,17.0,20.0,23.0,0.15,0.13,13.04,7.8,9.3,2.83,17.0
L2_B5_H8,17.0,20.0,23.0,0.13,0.1,15.63,9.36,11.61,2.93,18.75
L2_B5_H9,16.0,19.0,23.0,0.16,0.11,13.54,10.21,12.03,2.85,17.32
L2_B5_H10,15.0,18.0,22.0,0.22,0.1,10.92,9.81,11.55,2.73,15.38
L2_B5_H11,17.0,20.0,23.0,0.13,0.11,14.96,10.47,11.23,2.9,18.22
L2_B5_H12,16.0,19.0,23.0,0.16,0.11,13.45,10.76,12.95,2.86,17.38
L2_B5_H13,16.0,19.0,23.0,0.14,0.11,13.93,9.76,12.02,2.86,17.38
L2_B5_H14,17.0,20.0,23.0,0.14,0.12,14.45,10.81,12.79,2.89,18.07
L2_B5_H15,16.0,19.0,23.0,0.15,0.11,13.92,11.11,12.33,2.85,17.36
L3_B0_H0,17.0,20.0,23.0,0.15,0.1,14.85,10.09,10.92,2.92,18.48
L3_B0_H1,18.0,21.0,24.0,0.11,0.09,17.15,8.35,9.18,2.99,19.87
L3_B0_H2,18.0,20.0,24.0,0.17,0.1,14.41,8.83,10.69,2.92,18.46
L3_B0_H3,18.0,21.0,24.0,0.13,0.09,16.27,8.71,10.24,2.97,19.45
L3_B0_H4,17.0,20.0,23.0,0.14,0.11,14.36,8.36,9.38,2.89,17.95
L3_B0_H5,12.0,16.0,21.0,0.3,0.15,7.15,8.26,8.76,2.45,11.56
L3_B0_H6,18.0,21.0,24.0,0.13,0.09,16.32,8.21,9.61,2.97,19.49
L3_B0_H7,18.0,21.0,24.0,0.14,0.09,15.63,9.39,12.59,2.95,19.06
L3_B0_H8,17.0,20.0,23.0,0.11,0.1,16.19,8.72,8.89,2.95,19.02
L3_B0_H9,16.0,19.0,23.0,0.13,0.12,13.79,8.65,8.56,2.85,17.32
L3_B0_H10,18.0,21.0,24.0,0.1,0.09,17.29,9.99,11.76,2.99,19.95
L3_B0_H11,18.0,21.0,24.0,0.11,0.09,17.32,8.79,9.67,3.0,20.08
L3_B0_H12,17.0,20.0,23.0,0.18,0.12,12.51,9.53,11.29,2.83,16.98
L3_B0_H13,17.0,20.0,23.0,0.12,0.12,14.78,9.71,11.14,2.9,18.17
L3_B0_H14,17.0,20.0,23.0,0.13,0.11,15.42,8.37,8.48,2.93,18.73
L3_B0_H15,18.0,21.0,24.0,0.13,0.09,15.7,8.63,9.86,2.94,19.0
L3_B0_H16,18.0,21.0,24.0,0.11,0.1,16.88,9.66,11.6,2.98,19.78
L3_B0_H17,16.0,19.0,23.0,0.19,0.17,10.55,11.48,12.25,2.72,15.24
L3_B0_H18,17.0,20.0,23.0,0.11,0.1,16.07,7.79,8.17,2.94,18.97
L3_B0_H19,18.0,21.0,24.0,0.1,0.09,17.54,9.32,12.16,3.0,20.15
L3_B0_H20,14.0,18.0,22.0,0.3,0.08,8.1,8.51,10.53,2.61,13.54
L3_B0_H21,17.0,20.0,24.0,0.21,0.09,12.51,11.05,13.18,2.86,17.47
L3_B0_H22,16.0,19.0,23.0,0.34,0.07,7.09,9.16,10.96,2.59,13.38
L3_B0_H23,17.0,20.0,23.0,0.15,0.1,14.25,9.09,10.5,2.89,18.0
L3_B0_H24,17.0,20.0,23.0,0.13,0.11,15.1,10.1,12.34,2.92,18.5
L3_B0_H25,15.0,18.0,22.0,0.2,0.14,10.86,8.57,8.45,2.72,15.22
L3_B0_H26,17.0,20.0,23.0,0.12,0.1,15.84,9.04,9.28,2.94,18.83
L3_B0_H27,18.0,21.0,24.0,0.12,0.09,16.39,9.72,11.92,2.97,19.41
L3_B0_H28,18.0,21.0,24.0,0.13,0.1,15.93,7.65,9.58,2.95,19.19
L3_B0_H29,19.0,21.0,24.0,0.13,0.09,16.69,9.09,12.16,2.99,19.84
L3_B0_H30,16.0,19.0,23.0,0.16,0.12,12.98,7.75,7.33,2.82,16.74
L3_B0_H31,17.0,20.0,23.0,0.14,0.11,14.63,8.5,9.23,2.89,18.07
L3_B1_H0,16.0,19.0,23.0,0.16,0.11,12.82,9.9,11.49,2.81,16.67
L3_B1_H1,15.0,18.0,23.0,0.18,0.14,11.26,8.33,8.26,2.72,15.16
L3_B1_H2,16.0,19.0,23.0,0.15,0.14,11.98,10.08,11.54,2.77,15.92
L3_B1_H3,16.0,19.0,23.0,0.12,0.1,15.12,8.9,8.12,2.9,18.16
L3_B1_H4,17.0,20.0,23.0,0.15,0.11,14.59,8.18,8.85,2.91,18.3
L3_B1_H5,17.0,20.0,23.0,0.14,0.12,13.92,9.6,11.35,2.87,17.55
L3_B1_H6,15.0,18.0,22.0,0.18,0.15,10.92,9.01,9.38,2.7,14.92
L3_B1_H7,14.0,17.0,22.0,0.32,0.11,7.33,8.94,10.39,2.53,12.55
L3_B1_H8,13.0,16.0,21.0,0.23,0.12,9.47,7.88,7.1,2.59,13.28
L3_B1_H9,16.0,19.0,23.0,0.16,0.12,13.15,9.05,9.26,2.83,17.02
L3_B1_H10,17.0,20.0,23.0,0.13,0.1,15.54,9.64,10.53,2.93,18.75
L3_B1_H11,15.0,18.0,22.0,0.15,0.12,12.53,8.45,9.97,2.77,15.96
L3_B1_H12,17.0,20.0,23.0,0.2,0.09,12.11,9.01,10.6,2.82,16.77
L3_B1_H13,16.0,19.0,23.0,0.16,0.14,12.08,8.66,9.65,2.78,16.11
L3_B1_H14,17.0,20.0,23.0,0.17,0.11,13.69,8.92,9.96,2.88,17.79
L3_B1_H15,14.0,18.0,22.0,0.18,0.14,11.72,8.58,7.61,2.74,15.53
L3_B1_H16,16.0,19.0,23.0,0.17,0.13,12.18,8.79,7.61,2.79,16.32
L3_B1_H17,14.0,17.0,22.0,0.29,0.12,7.81,9.35,10.37,2.54,12.71
L3_B1_H18,15.0,18.0,22.0,0.17,0.11,12.48,8.69,8.78,2.78,16.11
L3_B1_H19,16.0,19.0,23.0,0.2,0.13,11.03,8.36,8.6,2.74,15.56
L3_B1_H20,15.0,18.0,23.0,0.17,0.11,12.43,8.5,7.84,2.78,16.17
L3_B1_H21,16.0,19.0,23.0,0.19,0.14,11.24,9.19,10.44,2.76,15.8
L3_B1_H22,16.0,19.0,23.0,0.21,0.11,11.06,10.52,12.03,2.75,15.62
L3_B1_H23,16.0,19.0,23.0,0.22,0.12,10.97,9.77,11.6,2.76,15.73
L3_B1_H24,16.0,19.0,23.0,0.19,0.1,12.44,8.59,8.53,2.82,16.72
L3_B1_H25,16.0,19.0,23.0,0.15,0.13,13.17,8.08,7.16,2.82,16.83
L3_B1_H26,17.0,20.0,23.0,0.13,0.12,14.34,9.89,12.17,2.88,17.84
L3_B1_H27,17.0,20.0,23.0,0.15,0.1,14.39,8.6,9.41,2.89,18.07
L3_B1_H28,15.0,19.0,23.0,0.22,0.11,10.69,8.27,8.3,2.72,15.25
L3_B1_H29,8.0,11.0,19.0,0.62,0.07,2.48,7.9,7.93,1.62,5.04
L3_B1_H30,16.0,19.0,23.0,0.15,0.11,13.85,8.67,8.76,2.85,17.35
L3_B1_H31,16.0,19.0,23.0,0.14,0.11,14.38,8.7,8.28,2.88,17.81
