head_id,layer,lr_mean,spec_index,cluster
L3_B0_H30,3,0.9324999999999999,2.5113351345062256,4
L3_B1_H8,3,0.9199999999999999,2.5572874546051025,6
L3_B0_H9,3,0.9185000000000001,1.5894520282745361,3
L3_B1_H25,3,0.9175000000000001,2.392796277999878,2
L3_B1_H16,3,0.9145,2.2357332706451416,3
L3_B1_H3,3,0.9040000000000001,1.623932123184204,4
L3_B0_H18,3,0.9019999999999999,1.8191330432891846,2
L3_B1_H20,3,0.9,2.7691650390625,4
L3_B0_H14,3,0.8985,1.4861620664596558,6
L3_B1_H28,3,0.889,2.0466573238372803,8
L3_B0_H25,3,0.8865000000000001,1.9442452192306519,6
L3_B1_H1,3,0.8854999999999998,1.703920602798462,8
L3_B1_H31,3,0.8815000000000002,1.348166584968567,2
L3_B1_H24,3,0.8805,1.111530065536499,6
L3_B1_H15,3,0.8799999999999999,1.695972204208374,3
L3_B0_H8,3,0.8789999999999999,1.5237842798233032,3
L3_B1_H29,3,0.8779999999999999,1.5027508735656738,6
L3_B1_H30,3,0.8755000000000001,1.1765670776367188,3
L3_B1_H4,3,0.8744999999999999,1.180008053779602,1
L3_B0_H11,3,0.867,1.1503537893295288,8
